"number","name","earnings","gold","silver","bronze","s-tier"
1,"Faker","$1,498,711",18,9,3,16
2,"Duke","$1,151,427",10,2,5,8
3,"Bang","$1,057,318",9,5,2,9
4,"Wolf","$1,053,271",9,7,1,9
5,"Bengi","$926,920",9,1,3,8
6,"JackeyLove","$841,011",10,3,2,5
7,"Rookie","$735,323",7,4,6,4
8,"CoreJJ","$716,738",8,7,2,3
9,"Ning","$696,766",5,3,4,3
10,"Baolan","$684,271",6,3,4,3
11,"TheShy","$682,222",5,3,3,3
12,"Xiaohu","$680,083",12,4,0,8
13,"Ruler","$664,007",6,6,3,1
14,"Blank","$655,613",5,5,2,5
15,"Karsa","$624,814",13,3,1,10
16,"Ambition","$596,773",8,6,3,2
17,"Uzi","$595,528",7,6,1,4
18,"Mata","$585,456",9,6,5,7
19,"Perkz","$583,204",13,6,3,12
20,"Caps","$562,862",11,3,4,9
21,"CuVee","$562,064",5,3,1,1
22,"Crown","$554,863",5,3,2,1
23,"Meiko","$548,639",12,3,3,8
24,"Impact","$539,675",11,5,4,8
25,"Peanut","$531,539",5,12,1,4
26,"Mlxg","$510,811",8,3,0,6
27,"Ming","$506,509",11,3,0,6
28,"Clearlove","$485,773",11,3,2,9
29,"Scout","$476,082",9,2,3,7
30,"Rekkles","$475,412",9,11,6,5
31,"Jankos","$475,177",8,3,4,7
32,"PawN","$448,344",8,4,5,5
33,"sOAZ","$446,848",12,11,2,6
34,"Khan","$444,323",8,7,1,7
35,"Deft","$442,594",8,9,5,6
36,"Letme","$428,568",7,2,0,5
37,"Doinb","$401,782",3,8,5,3
38,"Wunder","$401,741",10,3,1,7
39,"Haru","$397,728",4,0,1,2
40,"PraY","$394,085",5,8,1,4
41,"Hylissang","$389,692",6,11,3,4
42,"Huni","$380,708",5,5,5,4
43,"Jensen","$376,739",9,7,1,3
44,"Looper","$357,390",3,2,2,2
45,"GorillA","$356,840",4,10,1,3
46,"Crisp","$354,755",2,4,2,2
46,"Lwx","$354,755",2,5,2,2
48,"Broxah","$353,940",6,3,4,4
49,"Bwipo","$351,055",5,5,1,4
50,"Tian","$348,885",3,5,2,2
51,"ShowMaker","$347,609",8,2,1,5
52,"Canyon","$344,963",7,2,1,5
53,"BeryL","$337,477",8,2,1,5
54,"SwordArT","$333,989",9,2,6,6
55,"Doublelift","$333,438",10,9,2,9
56,"Imp","$329,670",4,4,5,3
57,"Smeb","$312,308",4,7,3,2
58,"Ghost","$307,025",5,2,1,4
59,"Sneaky","$303,345",10,7,0,3
60,"Mikyx","$295,496",7,2,1,6
61,"Zven","$295,293",8,11,2,5
62,"Kuro","$292,392",2,6,3,1
63,"Easyhoon","$292,021",4,1,0,3
64,"Xmithie","$283,599",6,6,2,6
65,"Svenskeren","$280,214",5,6,2,4
66,"Bdd","$273,033",3,6,2,2
67,"DanDy","$271,874",3,2,3,2
68,"MaRin","$264,796",3,1,1,3
69,"Nuguri","$262,341",5,2,1,3
70,"Piglet","$261,128",4,1,4,3
71,"Maple","$259,725",10,2,4,6
72,"Viper","$257,895",5,3,2,3
73,"PoohManDu","$252,967",4,0,2,3
74,"GimGoon","$252,048",2,1,3,2
75,"Clid","$250,619",5,2,4,3
76,"Bjergsen","$246,259",9,9,1,7
77,"Mouse","$245,036",5,2,2,5
78,"mithy","$243,179",8,11,1,4
79,"knight","$220,609",4,5,1,2
80,"Zero","$218,370",2,2,1,2
81,"Flandre","$218,145",2,1,2,2
82,"BeBe","$216,657",1,1,3,1
83,"xiye","$216,064",4,3,1,2
84,"369","$214,594",3,4,1,2
85,"LokeN","$207,782",4,5,4,1
86,"Cuzz","$206,626",4,4,1,4
87,"Mystic","$204,301",4,2,2,2
88,"Toyz","$202,560",1,2,1,1
89,"MiSTakE","$202,160",1,1,1,1
89,"Lilballz","$202,160",1,1,1,1
